UniformeProductnaam,URI,Rijk,Provincie,Waterschap,Gemeente,Burger,Bedrijf,Dienstenwet,SDG,Autonomie,Medebewind,Aanvraag,Subsidie,Melding,Verplichting,DigiDMacht,Grondslag,Grondslaglabel,Grondslaglink
UPL-naam nog niet beschikbaar,http://standaarden.overheid.nl/owms/terms/UPL-naam_nog_niet_beschikbaar,X,X,X,X,,,,,,,,,,,,,,
aanleunwoning,http://standaarden.overheid.nl/owms/terms/aanleunwoning,,,,X,X,,,,,,,,,,,,,
aanpassing zelfgebouwd vliegtuig melding,http://standaarden.overheid.nl/owms/terms/aanpZelfbVliegtMeld,X,,,,X,,,C5,,,,,X,,,http://standaarden.overheid.nl/owms/terms/RegAmLuchtv_art_7,Artikel 7 Regeling amateurbouwluchtvaartuigen,https://wetten.overheid.nl/jci1.3:c:BWBR0013494&Paragraaf=4&artikel=7
aanschrijving,http://standaarden.overheid.nl/owms/terms/aanschrijving,,X,X,X,X,X,,,X,X,,,,,,http://standaarden.overheid.nl/owms/terms/Gemw_art_125,Artikel 125 Gemeentewet,https://wetten.overheid.nl/jci1.3:c:BWBR0005416&titeldeel=III&hoofdstuk=VIII&Paragraaf=4&artikel=125
aanschrijving,http://standaarden.overheid.nl/owms/terms/aanschrijving,,X,X,X,X,X,,,X,X,,,,,,http://standaarden.overheid.nl/owms/terms/PW_art_122,Artikel 122 Provinciewet,https://wetten.overheid.nl/jci1.3:c:BWBR0005645&titeldeel=III&hoofdstuk=VIII&Paragraaf=4&artikel=122
aanschrijving,http://standaarden.overheid.nl/owms/terms/aanschrijving,,X,X,X,X,X,,,X,X,,,,,,http://standaarden.overheid.nl/owms/terms/Wschw_art_61,Artikel 61 Waterschapswet,https://wetten.overheid.nl/jci1.3:c:BWBR0005108&titeldeel=III&hoofdstuk=IX&Paragraaf=4&artikel=61
aansprakelijkstelling overheid,http://standaarden.overheid.nl/owms/terms/aansprStOverh,,X,X,X,X,X,,,X,,,,,,,http://standaarden.overheid.nl/owms/terms/BW_Boek_6_art_162,Artikel 162 Burgerlijk Wetboek Boek 6,https://wetten.overheid.nl/jci1.3:c:BWBR0005289&boek=6&titeldeel=3&afdeling=1&artikel=162
aanvullende beurs kwijtschelding,http://standaarden.overheid.nl/owms/terms/aanvBeursKwijtsch,X,,,,X,,,E1,,,X,,,,,http://standaarden.overheid.nl/owms/terms/WSF_art_6_2,Artikel 6.2 Wet studiefinanciering 2000,https://wetten.overheid.nl/jci1.3:c:BWBR0011453&hoofdstuk=6&Paragraaf=6.1&artikel=6.2
aanvullende inkomensvoorziening ouderen,http://standaarden.overheid.nl/owms/terms/aanvInkVzOuder,X,,,,X,,,B9,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Pw_art_47a,Artikel 47a Participatiewet,https://wetten.overheid.nl/jci1.3:c:BWBR0015703&hoofdstuk=5&Paragraaf=5.4&artikel=47a
aanwijzing inzamelaar,http://standaarden.overheid.nl/owms/terms/aanwInzam,,,,X,,X,X,,,X,X,,,,,http://standaarden.overheid.nl/owms/terms/Mod_Afv_art_4,Artikel 4 Model Afvalstoffenverordening,
aanzegtermijn,http://standaarden.overheid.nl/owms/terms/aanzegtermijn,X,,,,,X,,,,,,,,,,http://standaarden.overheid.nl/owms/terms/BW_Boek_7_art_668,Artikel 668 Burgerlijk Wetboek Boek 7,https://wetten.overheid.nl/jci1.3:c:BWBR0005290&boek=7&titeldeel=10&afdeling=9&artikel=668
accijns,http://standaarden.overheid.nl/owms/terms/accijns,X,,,,,X,,,,,,,,X,,http://standaarden.overheid.nl/owms/terms/WA_art_1,Artikel 1 Wet op de accijns,https://wetten.overheid.nl/jci1.3:c:BWBR0005251&hoofdstuk=I&afdeling=1&artikel=1
achternaam gebruiksbeëindiging,http://standaarden.overheid.nl/owms/terms/achternGebrBeeind,X,,,,X,,,,,X,,,,,,http://standaarden.overheid.nl/owms/terms/BW_Boek_1_art_9,Artikel 9 Burgerlijk Wetboek Boek 1,https://wetten.overheid.nl/jci1.3:c:BWBR0002656&boek=1&titeldeel=2&artikel=9
achternaamwijziging,http://standaarden.overheid.nl/owms/terms/achternaamwijziging,X,,,X,X,,,,,X,,,,,,http://standaarden.overheid.nl/owms/terms/BW_Boek_1_art_7,Artikel 7 Burgerlijk Wetboek Boek 1,https://wetten.overheid.nl/jci1.3:c:BWBR0002656&boek=1&titeldeel=2&artikel=7
adoptie,http://standaarden.overheid.nl/owms/terms/adoptie,X,,,,X,,,G1,,,,,,,,http://standaarden.overheid.nl/owms/terms/BW_Boek_1_art_227,Artikel 227 Burgerlijk Wetboek Boek 1,https://wetten.overheid.nl/jci1.3:c:BWBR0002656&boek=1&titeldeel=12&artikel=227
adoptie aangifte,http://standaarden.overheid.nl/owms/terms/adoptie_aangifte,,,,X,X,,,,,X,,,,X,,http://standaarden.overheid.nl/owms/terms/Wet_BRP_art_2_38,Artikel 2.38 Wet basisregistratie personen,https://wetten.overheid.nl/jci1.3:c:BWBR0033715&hoofdstuk=2&afdeling=1&Paragraaf=5&artikel=2.38
adoptie- of pleegzorguitkering,http://standaarden.overheid.nl/owms/terms/adoptiePleegzUitk,X,,,,X,,,G1,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Wazo_art_3_9,Artikel 3:9 Wet arbeid en zorg,https://wetten.overheid.nl/jci1.3:c:BWBR0013008&hoofdstuk=3&afdeling=2&Paragraaf=1&artikel=3:9
adoptieherroeping,http://standaarden.overheid.nl/owms/terms/adoptieherroeping,X,,,,X,,,G1,,,,,,,,http://standaarden.overheid.nl/owms/terms/BW_Boek_1_art_231,Artikel 231 Burgerlijk Wetboek Boek 1,https://wetten.overheid.nl/jci1.3:c:BWBR0002656&boek=1&titeldeel=12&artikel=231
adr bestuurderscertificaat,http://standaarden.overheid.nl/owms/terms/adrbestcert,X,,,,X,X,X,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Eur_ovk_ADR,"Europese overeenkomst voor het internationale vervoer van gevaarlijke goederen over de weg (ADR), artikel 8.2.1.1",
adresonderzoek,http://standaarden.overheid.nl/owms/terms/adresonderzoek,,,,X,X,,,,,X,X,,,,,http://standaarden.overheid.nl/owms/terms/Wet_BRP_art_2_60,Artikel 2.60 Wet basisregistratie personen,https://wetten.overheid.nl/jci1.3:c:BWBR0033715&hoofdstuk=2&afdeling=1&Paragraaf=6&artikel=2.60
affectieschade,http://standaarden.overheid.nl/owms/terms/affectieschade,X,,,,X,X,,,,,,,,,,http://standaarden.overheid.nl/owms/terms/BW_Boek_6_art_107,Artikel 107 Burgerlijk Wetboek Boek 6,https://wetten.overheid.nl/jci1.3:c:BWBR0005289&boek=6&titeldeel=1&afdeling=10&artikel=107
afgezette gebieden betreden ontheffing,http://standaarden.overheid.nl/owms/terms/afgezette_gebieden_betreden_ontheffing,,,,X,X,X,,,X,,X,,,,,http://standaarden.overheid.nl/owms/terms/Mod_Apv_art_2_1,Artikel 2:1 Model Algemene plaatselijke verordening,
aflosbedrag inburgeringslening verlaging,http://standaarden.overheid.nl/owms/terms/aflosbedrInburglenVerlag,X,,,,X,,,D4,,,X,,,,,http://standaarden.overheid.nl/owms/terms/BI_art_4_9,Artikel 4.9 Besluit inburgering,https://wetten.overheid.nl/jci1.3:c:BWBR0020674&hoofdstuk=4&Paragraaf=2&artikel=4.9
